,timestamp,rain,temperature
10,2023-01-07 10:00:00,0.0,7.8
11,2023-01-07 11:00:00,0.0,8.0
12,2023-01-07 12:00:00,0.0,8.8
13,2023-01-07 13:00:00,0.0,8.6
14,2023-01-07 14:00:00,0.0,8.8
15,2023-01-07 15:00:00,0.0,8.5
16,2023-01-07 16:00:00,0.0,8.0
17,2023-01-07 17:00:00,0.0,7.8
18,2023-01-07 18:00:00,0.0,7.1
34,2023-01-08 10:00:00,0.0,5.0
35,2023-01-08 11:00:00,0.0,5.9
36,2023-01-08 12:00:00,0.0,6.4
37,2023-01-08 13:00:00,0.0,6.2
38,2023-01-08 14:00:00,0.0,6.9
39,2023-01-08 15:00:00,0.0,7.4
40,2023-01-08 16:00:00,0.0,6.5
41,2023-01-08 17:00:00,0.0,5.8
42,2023-01-08 18:00:00,0.0,5.3
58,2023-01-09 10:00:00,0.0,4.3
59,2023-01-09 11:00:00,0.0,5.1
60,2023-01-09 12:00:00,0.0,5.9
61,2023-01-09 13:00:00,0.0,6.9
62,2023-01-09 14:00:00,0.0,7.7
63,2023-01-09 15:00:00,0.0,7.3
64,2023-01-09 16:00:00,0.0,6.5
65,2023-01-09 17:00:00,0.0,6.0
66,2023-01-09 18:00:00,0.0,6.1
82,2023-01-10 10:00:00,0.3,12.4
83,2023-01-10 11:00:00,0.1,12.9
84,2023-01-10 12:00:00,0.0,13.2
85,2023-01-10 13:00:00,0.0,13.5
86,2023-01-10 14:00:00,0.0,13.2
87,2023-01-10 15:00:00,0.4,13.1
88,2023-01-10 16:00:00,1.3,10.3
89,2023-01-10 17:00:00,2.6,9.4
90,2023-01-10 18:00:00,0.0,8.5
106,2023-01-11 10:00:00,1.4,6.0
107,2023-01-11 11:00:00,0.4,5.9
108,2023-01-11 12:00:00,1.2,5.7
109,2023-01-11 13:00:00,0.2,6.1
110,2023-01-11 14:00:00,0.0,6.5
111,2023-01-11 15:00:00,0.0,7.1
112,2023-01-11 16:00:00,0.0,6.6
113,2023-01-11 17:00:00,0.0,7.0
114,2023-01-11 18:00:00,0.0,6.7
130,2023-01-12 10:00:00,0.0,8.0
131,2023-01-12 11:00:00,0.0,8.5
132,2023-01-12 12:00:00,0.0,8.2
133,2023-01-12 13:00:00,0.0,8.2
134,2023-01-12 14:00:00,0.0,7.7
135,2023-01-12 15:00:00,0.0,6.1
136,2023-01-12 16:00:00,0.0,7.3
137,2023-01-12 17:00:00,0.0,7.0
138,2023-01-12 18:00:00,0.0,6.6
154,2023-01-13 10:00:00,0.0,6.6
155,2023-01-13 11:00:00,0.0,7.2
156,2023-01-13 12:00:00,0.0,7.9
157,2023-01-13 13:00:00,0.0,8.6
158,2023-01-13 14:00:00,0.0,8.5
159,2023-01-13 15:00:00,0.0,8.1
160,2023-01-13 16:00:00,0.0,7.6
161,2023-01-13 17:00:00,0.0,7.2
162,2023-01-13 18:00:00,0.0,7.5
178,2023-01-14 10:00:00,0.0,4.9
179,2023-01-14 11:00:00,0.0,5.3
180,2023-01-14 12:00:00,0.0,5.8
181,2023-01-14 13:00:00,0.0,6.1
182,2023-01-14 14:00:00,0.0,6.3
183,2023-01-14 15:00:00,0.0,5.6
184,2023-01-14 16:00:00,0.0,4.9
185,2023-01-14 17:00:00,0.0,3.6
186,2023-01-14 18:00:00,0.0,2.9
202,2023-01-15 10:00:00,0.0,3.7
203,2023-01-15 11:00:00,0.0,4.1
204,2023-01-15 12:00:00,0.0,4.3
205,2023-01-15 13:00:00,0.0,4.7
206,2023-01-15 14:00:00,0.0,4.9
207,2023-01-15 15:00:00,0.1,5.0
208,2023-01-15 16:00:00,0.0,4.2
209,2023-01-15 17:00:00,0.0,3.9
210,2023-01-15 18:00:00,0.0,3.7
226,2023-01-16 10:00:00,0.0,-0.4
227,2023-01-16 11:00:00,0.0,0.7
228,2023-01-16 12:00:00,0.0,1.7
229,2023-01-16 13:00:00,0.0,1.9
230,2023-01-16 14:00:00,0.0,2.3
231,2023-01-16 15:00:00,0.0,2.1
232,2023-01-16 16:00:00,0.0,1.2
233,2023-01-16 17:00:00,0.0,0.5
234,2023-01-16 18:00:00,0.0,0.4
250,2023-01-17 10:00:00,0.0,-2.6
251,2023-01-17 11:00:00,0.0,-1.0
252,2023-01-17 12:00:00,0.0,0.3
253,2023-01-17 13:00:00,0.0,1.1
254,2023-01-17 14:00:00,0.0,1.6
255,2023-01-17 15:00:00,0.0,2.0
256,2023-01-17 16:00:00,0.0,1.7
257,2023-01-17 17:00:00,0.0,0.7
258,2023-01-17 18:00:00,0.0,0.2
274,2023-01-18 10:00:00,0.0,1.3
275,2023-01-18 11:00:00,0.0,2.3
276,2023-01-18 12:00:00,0.0,2.4
277,2023-01-18 13:00:00,0.0,2.7
278,2023-01-18 14:00:00,0.0,3.2
279,2023-01-18 15:00:00,0.0,3.7
280,2023-01-18 16:00:00,0.0,3.1
281,2023-01-18 17:00:00,0.0,2.1
282,2023-01-18 18:00:00,0.0,1.5
298,2023-01-19 10:00:00,0.0,0.9
299,2023-01-19 11:00:00,0.0,1.7
300,2023-01-19 12:00:00,0.0,2.7
301,2023-01-19 13:00:00,0.0,3.4
302,2023-01-19 14:00:00,0.0,4.0
303,2023-01-19 15:00:00,0.0,4.0
304,2023-01-19 16:00:00,0.0,3.1
305,2023-01-19 17:00:00,0.0,1.3
306,2023-01-19 18:00:00,0.0,0.6
322,2023-01-20 10:00:00,0.0,-0.4
323,2023-01-20 11:00:00,0.0,2.9
324,2023-01-20 12:00:00,0.0,5.1
325,2023-01-20 13:00:00,0.0,6.2
326,2023-01-20 14:00:00,0.0,6.6
327,2023-01-20 15:00:00,0.0,6.7
328,2023-01-20 16:00:00,0.0,5.7
329,2023-01-20 17:00:00,0.0,4.4
330,2023-01-20 18:00:00,0.0,4.8
346,2023-01-21 10:00:00,0.0,6.6
347,2023-01-21 11:00:00,0.0,7.1
348,2023-01-21 12:00:00,0.0,7.4
